tag,itens,categoria,modelo,serial,marca,valor,data_compra,fornecedor,po,nota_fiscal,uso,qtd,prateleira,rua,setor,box,conferido,local
TEC001,2,techstop,teste,DLL5520001,Dell,3500.0,2024-01-15 00:00:00.000000,Dell Brasil,PO-TEC-001,NF-001234,Desenvolvimento,12,Prateleira A,Rua A1,TechStop Alpha,Caixa A1,True,hq1
TEC002,Desktop HP Elite,techstop,Elite Desk 800 G8,HPE800001,HP,2800.0,2024-01-20 00:00:00.000000,HP Brasil,PO-TEC-002,NF-001235,Escritório,8,Prateleira A,Rua A2,TechStop Alpha,Caixa A2,True,hq2
TEC003,MacBook Pro M2,techstop,"MacBook Pro 14""",MBPM2001,Apple,8500.0,2024-02-10 00:00:00.000000,Apple Brasil,PO-TEC-003,NF-001236,Design Gráfico,3,Prateleira B,Rua B1,TechStop Beta,Caixa B1,True,Spark
TEC004,Workstation Lenovo,techstop,ThinkStation P520,LEN520001,Lenovo,12000.0,2024-02-25 00:00:00.000000,Lenovo Brasil,PO-TEC-004,NF-001237,Engenharia 3D,2,Prateleira B,Rua B2,TechStop Beta,Caixa B2,False,
TEC005,Tablet iPad Pro,techstop,"iPad Pro 12.9""",IPADPRO001,Apple,4200.0,2024-03-01 00:00:00.000000,Apple Brasil,PO-TEC-005,NF-001238,Design Mobile,5,Prateleira A,Rua A1,TechStop Alpha,Caixa A3,True,
TEC006,Mouse Logitech MX,techstop,MX Master 3S,LGT3S001,Logitech,450.0,2024-02-20 00:00:00.000000,Logitech,PO-TEC-006,NF-001239,Produtividade,25,Prateleira C,Rua C1,TechStop Gamma,Caixa C1,True,
TEC007,Teclado Mecânico,techstop,K70 RGB MK.2,COR70001,Corsair,850.0,2024-03-10 00:00:00.000000,Corsair Gaming,PO-TEC-007,NF-001240,Gaming/Dev,6,Prateleira C,Rua C1,TechStop Gamma,Caixa C2,False,
TEC008,SSD Externo Samsung,techstop,T7 Shield 2TB,SAMT7001,Samsung,800.0,2024-01-30 00:00:00.000000,Samsung Brasil,PO-TEC-008,NF-001241,Backup/Armazenamento,10,Prateleira A,Rua A2,TechStop Alpha,Caixa A4,True,
MON002,"TV Samsung 55""",tv e monitor,UN55AU7000,SAM55AU001,Samsung,3500.0,2024-02-15 00:00:00.000000,Samsung Brasil,PO-MON-002,NF-002002,Sala de Reunião,4,Prateleira E,Rua E1,AV Zone Echo,Caixa E1,False,
MON003,"Monitor Dell 24""",tv e monitor,P2422H,DELLP24001,Dell,1800.0,2024-03-05 00:00:00.000000,Dell Brasil,PO-MON-003,NF-002003,Escritório Geral,20,Prateleira D,Rua D1,Monitor Zone Delta,Caixa D2,True,
