id_movimentacao,tipo_movimentacao,data_movimentacao,sku,quantidade,valor_unitario,valor_total,motivo,usuario,local_origem,local_destino,numero_nf,observacoes,status
MOV001,Entrada,2024-01-16,SKU001,12,3500.00,42000.00,Compra NF-001234,danilo.fukuyama.digisystem@nubank.com.br,Fornecedor,HQ1 - 8º Andar,NF-001234,Recebimento de notebooks Dell,Confirmada
MOV002,Entrada,2024-01-21,SKU002,8,2800.00,22400.00,Compra NF-001235,danilo.fukuyama.digisystem@nubank.com.br,Fornecedor,HQ1 - 8º Andar,NF-001235,Recebimento de desktops HP,Confirmada
MOV003,Entrada,2024-02-11,SKU003,3,8500.00,25500.00,Compra NF-001236,danilo.fukuyama.digisystem@nubank.com.br,Fornecedor,Spark - 2º Andar,NF-001236,Recebimento de MacBooks,Confirmada
MOV004,Entrada,2024-02-26,SKU004,2,12000.00,24000.00,Compra NF-001237,danilo.fukuyama.digisystem@nubank.com.br,Fornecedor,Spark - 2º Andar,NF-001237,Recebimento de workstations,Confirmada
MOV005,Entrada,2024-03-02,SKU005,5,4200.00,21000.00,Compra NF-001238,danilo.fukuyama.digisystem@nubank.com.br,Fornecedor,HQ1 - 8º Andar,NF-001238,Recebimento de iPads,Confirmada
MOV006,Entrada,2024-02-21,SKU006,25,450.00,11250.00,Compra NF-001239,danilo.fukuyama.digisystem@nubank.com.br,Fornecedor,HQ1 - 7º Andar,NF-001239,Recebimento de mouses Logitech,Confirmada
MOV007,Entrada,2024-03-11,SKU007,6,850.00,5100.00,Compra NF-001240,danilo.fukuyama.digisystem@nubank.com.br,Fornecedor,HQ1 - 7º Andar,NF-001240,Recebimento de teclados Corsair,Confirmada
MOV008,Entrada,2024-01-31,SKU008,10,800.00,8000.00,Compra NF-001241,danilo.fukuyama.digisystem@nubank.com.br,Fornecedor,HQ1 - 8º Andar,NF-001241,Recebimento de SSDs Samsung,Confirmada
MOV009,Entrada,2024-01-26,SKU009,15,2200.00,33000.00,Compra NF-002001,danilo.fukuyama.digisystem@nubank.com.br,Fornecedor,HQ1 - 6º Andar,NF-002001,Recebimento de monitores LG,Confirmada
MOV010,Entrada,2024-02-16,SKU010,4,3500.00,14000.00,Compra NF-002002,danilo.fukuyama.digisystem@nubank.com.br,Fornecedor,Spark - 1º Andar,NF-002002,Recebimento de TVs Samsung,Confirmada
MOV011,Entrada,2024-03-06,SKU011,20,1800.00,36000.00,Compra NF-002003,danilo.fukuyama.digisystem@nubank.com.br,Fornecedor,HQ1 - 6º Andar,NF-002003,Recebimento de monitores Dell,Confirmada
MOV012,Entrada,2024-02-29,SKU012,3,4500.00,13500.00,Compra NF-002004,danilo.fukuyama.digisystem@nubank.com.br,Fornecedor,Spark - 1º Andar,NF-002004,Recebimento de projetores BenQ,Confirmada
MOV013,Entrada,2024-03-16,SKU013,6,800.00,4800.00,Compra NF-002005,danilo.fukuyama.digisystem@nubank.com.br,Fornecedor,HQ1 - 6º Andar,NF-002005,Recebimento de Apple TVs,Confirmada
MOV014,Entrada,2024-01-19,SKU014,30,1200.00,36000.00,Compra NF-003001,danilo.fukuyama.digisystem@nubank.com.br,Fornecedor,HQ1 - 5º Andar,NF-003001,Recebimento de headsets Plantronics,Confirmada
MOV015,Entrada,2024-02-23,SKU015,8,600.00,4800.00,Compra NF-003002,danilo.fukuyama.digisystem@nubank.com.br,Fornecedor,HQ1 - 5º Andar,NF-003002,Recebimento de caixas de som JBL,Confirmada
MOV016,Entrada,2024-03-09,SKU016,4,400.00,1600.00,Compra NF-003003,danilo.fukuyama.digisystem@nubank.com.br,Fornecedor,HQ1 - 4º Andar,NF-003003,Recebimento de microfones Blue,Confirmada
MOV017,Entrada,2024-02-13,SKU017,18,350.00,6300.00,Compra NF-003004,danilo.fukuyama.digisystem@nubank.com.br,Fornecedor,HQ1 - 5º Andar,NF-003004,Recebimento de webcams Logitech,Confirmada
MOV018,Entrada,2024-01-29,SKU018,15,300.00,4500.00,Compra NF-003005,danilo.fukuyama.digisystem@nubank.com.br,Fornecedor,HQ1 - 7º Andar,NF-003005,Recebimento de adaptadores Anker,Confirmada
